source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
2wikimultihopqa,qwen3:14b,oracle,comparison,16000,front,medium,unknown,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0.8095238095238095,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,16000,middle,low,unknown,8,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.8333333333333333,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,16000,middle,medium,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,1.0,0.6875,0.8095238095238095,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,16000,scattered,low,unknown,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,0.875,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,16000,scattered,medium,unknown,14,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,1.0,0.7142857142857143,0.8299319727891156,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,end,low,unknown,12,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.7916666666666666,0.861111111111111,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,end,medium,unknown,8,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.65625,0.7857142857142857,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,front,low,unknown,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.7222222222222222,0.8148148148148148,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,front,medium,unknown,11,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,0.6363636363636364,0.7705627705627706,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,middle,low,unknown,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0.7916666666666666,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,middle,medium,unknown,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.6388888888888888,0.7724867724867724,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,scattered,high,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,scattered,low,unknown,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8888888888888888,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,4000,scattered,medium,unknown,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.7936507936507936,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,8000,end,low,unknown,8,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.9166666666666666,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,8000,end,medium,unknown,12,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.6875,0.8095238095238095,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,8000,front,low,unknown,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7999999999999999,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,8000,front,medium,unknown,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.7936507936507936,1.0
