model_name,context_length,evidence_position,position_fraction,long_method,score_field,score_no_evidence,score_oracle,score_long,n,oncu_valid,oncu_invalid_reason,oncu_raw,oncu_clipped
gemma3:12b,8000,pos_03,0.35,direct,answer_f1_relaxed,0.0,0.9875,0.49166666666666664,80,True,,0.49789029535864976,0.49789029535864976
gemma3:12b,8000,pos_03,0.35,retrieve_then_read,answer_f1_relaxed,0.0,0.9875,0.7875,80,True,,0.7974683544303797,0.7974683544303797
gemma3:12b,8000,pos_04,0.45,direct,answer_f1_relaxed,0.0,1.0,0.42916666666666664,80,True,,0.42916666666666664,0.42916666666666664
gemma3:12b,8000,pos_04,0.45,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.84375,80,True,,0.84375,0.84375
gemma3:12b,8000,pos_05,0.55,direct,answer_f1_relaxed,0.0,0.9875,0.4979166666666667,80,True,,0.5042194092827004,0.5042194092827004
gemma3:12b,8000,pos_05,0.55,retrieve_then_read,answer_f1_relaxed,0.0,0.9875,0.9375,80,True,,0.9493670886075949,0.9493670886075949
gemma3:12b,8000,pos_06,0.65,direct,answer_f1_relaxed,0.00625,1.0,0.8,80,True,,0.7987421383647799,0.7987421383647799
gemma3:12b,8000,pos_06,0.65,retrieve_then_read,answer_f1_relaxed,0.00625,1.0,0.825,80,True,,0.8238993710691823,0.8238993710691823
gemma3:12b,8000,pos_07,0.75,direct,answer_f1_relaxed,0.0,0.9875,0.7875,80,True,,0.7974683544303797,0.7974683544303797
gemma3:12b,8000,pos_07,0.75,retrieve_then_read,answer_f1_relaxed,0.0,0.9875,0.7875,80,True,,0.7974683544303797,0.7974683544303797
gemma3:12b,8000,pos_08,0.85,direct,answer_f1_relaxed,0.0,1.0,0.7625,80,True,,0.7625,0.7625
gemma3:12b,8000,pos_08,0.85,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.83125,80,True,,0.83125,0.83125
gemma3:12b,8000,pos_09,0.95,direct,answer_f1_relaxed,0.0125,0.975,0.75,80,True,,0.7662337662337663,0.7662337662337663
gemma3:12b,8000,pos_09,0.95,retrieve_then_read,answer_f1_relaxed,0.0125,0.975,0.79375,80,True,,0.8116883116883117,0.8116883116883117
qwen2.5:14b,16000,pos_00,0.05,direct,answer_f1_relaxed,0.0,0.9458333333333333,0.00625,80,True,,0.006607929515418502,0.006607929515418502
qwen2.5:14b,16000,pos_00,0.05,retrieve_then_read,answer_f1_relaxed,0.0,0.9458333333333333,0.9625,80,True,,1.0176211453744495,1.0
qwen2.5:14b,16000,pos_01,0.15,direct,answer_f1_relaxed,0.0,0.925,0.0375,80,True,,0.040540540540540536,0.040540540540540536
qwen2.5:14b,16000,pos_01,0.15,retrieve_then_read,answer_f1_relaxed,0.0,0.925,0.9875,80,True,,1.0675675675675675,1.0
qwen2.5:14b,16000,pos_02,0.25,direct,answer_f1_relaxed,0.0,0.9333333333333333,0.05,80,True,,0.053571428571428575,0.053571428571428575
qwen2.5:14b,16000,pos_02,0.25,retrieve_then_read,answer_f1_relaxed,0.0,0.9333333333333333,0.9875,80,True,,1.0580357142857144,1.0
qwen2.5:14b,16000,pos_03,0.35,direct,answer_f1_relaxed,0.0,0.9291666666666667,0.04375,80,True,,0.04708520179372197,0.04708520179372197
qwen2.5:14b,16000,pos_03,0.35,retrieve_then_read,answer_f1_relaxed,0.0,0.9291666666666667,0.975,80,True,,1.0493273542600896,1.0
qwen2.5:14b,16000,pos_04,0.45,direct,answer_f1_relaxed,0.0,0.9416666666666667,0.0,80,True,,0.0,0.0
qwen2.5:14b,16000,pos_04,0.45,retrieve_then_read,answer_f1_relaxed,0.0,0.9416666666666667,1.0,80,True,,1.0619469026548674,1.0
qwen2.5:14b,16000,pos_05,0.55,direct,answer_f1_relaxed,0.0,0.9416666666666667,0.03125,80,True,,0.033185840707964605,0.033185840707964605
qwen2.5:14b,16000,pos_05,0.55,retrieve_then_read,answer_f1_relaxed,0.0,0.9416666666666667,0.975,80,True,,1.0353982300884956,1.0
qwen2.5:14b,16000,pos_06,0.65,direct,answer_f1_relaxed,0.0,0.9375,0.3933333333333333,80,True,,0.4195555555555555,0.4195555555555555
qwen2.5:14b,16000,pos_06,0.65,retrieve_then_read,answer_f1_relaxed,0.0,0.9375,0.9875,80,True,,1.0533333333333335,1.0
qwen2.5:14b,16000,pos_07,0.75,direct,answer_f1_relaxed,0.0,0.9416666666666667,0.3833333333333333,80,True,,0.4070796460176991,0.4070796460176991
qwen2.5:14b,16000,pos_07,0.75,retrieve_then_read,answer_f1_relaxed,0.0,0.9416666666666667,0.9875,80,True,,1.0486725663716814,1.0
qwen2.5:14b,16000,pos_08,0.85,direct,answer_f1_relaxed,0.0,0.925,1.0,80,True,,1.081081081081081,1.0
qwen2.5:14b,16000,pos_08,0.85,retrieve_then_read,answer_f1_relaxed,0.0,0.925,1.0,80,True,,1.081081081081081,1.0
qwen2.5:14b,16000,pos_09,0.95,direct,answer_f1_relaxed,0.0,0.925,0.975,80,True,,1.054054054054054,1.0
qwen2.5:14b,16000,pos_09,0.95,retrieve_then_read,answer_f1_relaxed,0.0,0.925,0.95,80,True,,1.027027027027027,1.0
qwen2.5:14b,32000,pos_00,0.05,direct,answer_f1_relaxed,0.0,0.9416666666666667,0.0125,80,True,,0.013274336283185842,0.013274336283185842
qwen2.5:14b,32000,pos_00,0.05,retrieve_then_read,answer_f1_relaxed,0.0,0.9416666666666667,1.0,80,True,,1.0619469026548674,1.0
qwen2.5:14b,32000,pos_01,0.15,direct,answer_f1_relaxed,0.0,0.9291666666666667,0.0,80,True,,0.0,0.0
qwen2.5:14b,32000,pos_01,0.15,retrieve_then_read,answer_f1_relaxed,0.0,0.9291666666666667,1.0,80,True,,1.0762331838565022,1.0
qwen2.5:14b,32000,pos_02,0.25,direct,answer_f1_relaxed,0.0,0.9375,0.00625,80,True,,0.006666666666666667,0.006666666666666667
qwen2.5:14b,32000,pos_02,0.25,retrieve_then_read,answer_f1_relaxed,0.0,0.9375,0.9875,80,True,,1.0533333333333335,1.0
qwen2.5:14b,32000,pos_03,0.35,direct,answer_f1_relaxed,0.0,0.9291666666666667,0.04375,80,True,,0.04708520179372197,0.04708520179372197
qwen2.5:14b,32000,pos_03,0.35,retrieve_then_read,answer_f1_relaxed,0.0,0.9291666666666667,0.9875,80,True,,1.062780269058296,1.0
qwen2.5:14b,32000,pos_04,0.45,direct,answer_f1_relaxed,0.0,0.9125,0.04375,80,True,,0.04794520547945205,0.04794520547945205
qwen2.5:14b,32000,pos_04,0.45,retrieve_then_read,answer_f1_relaxed,0.0,0.9125,0.9333333333333333,80,True,,1.0228310502283104,1.0
qwen2.5:14b,32000,pos_05,0.55,direct,answer_f1_relaxed,0.0,0.9166666666666666,0.05,80,True,,0.05454545454545455,0.05454545454545455
qwen2.5:14b,32000,pos_05,0.55,retrieve_then_read,answer_f1_relaxed,0.0,0.9166666666666666,0.9875,80,True,,1.0772727272727274,1.0
qwen2.5:14b,32000,pos_06,0.65,direct,answer_f1_relaxed,0.0,0.925,0.01875,80,True,,0.020270270270270268,0.020270270270270268
qwen2.5:14b,32000,pos_06,0.65,retrieve_then_read,answer_f1_relaxed,0.0,0.925,1.0,80,True,,1.081081081081081,1.0
qwen2.5:14b,32000,pos_07,0.75,direct,answer_f1_relaxed,0.0,0.925,0.00625,80,True,,0.006756756756756757,0.006756756756756757
qwen2.5:14b,32000,pos_07,0.75,retrieve_then_read,answer_f1_relaxed,0.0,0.925,0.9958333333333333,80,True,,1.0765765765765765,1.0
qwen2.5:14b,32000,pos_08,0.85,direct,answer_f1_relaxed,0.0,0.925,0.3983333333333333,80,True,,0.4306306306306306,0.4306306306306306
qwen2.5:14b,32000,pos_08,0.85,retrieve_then_read,answer_f1_relaxed,0.0,0.925,0.9375,80,True,,1.0135135135135134,1.0
qwen2.5:14b,32000,pos_09,0.95,direct,answer_f1_relaxed,0.0,0.9041666666666667,0.95,80,True,,1.0506912442396312,1.0
qwen2.5:14b,32000,pos_09,0.95,retrieve_then_read,answer_f1_relaxed,0.0,0.9041666666666667,0.925,80,True,,1.023041474654378,1.0
qwen2.5:14b,4000,pos_00,0.05,direct,answer_f1_relaxed,0.0,0.95,0.9395833333333333,80,True,,0.9890350877192983,0.9890350877192983
qwen2.5:14b,4000,pos_00,0.05,retrieve_then_read,answer_f1_relaxed,0.0,0.95,1.0,80,True,,1.0526315789473684,1.0
qwen2.5:14b,4000,pos_01,0.15,direct,answer_f1_relaxed,0.0,0.9291666666666667,0.96875,80,True,,1.0426008968609866,1.0
qwen2.5:14b,4000,pos_01,0.15,retrieve_then_read,answer_f1_relaxed,0.0,0.9291666666666667,0.9875,80,True,,1.062780269058296,1.0
qwen2.5:14b,4000,pos_02,0.25,direct,answer_f1_relaxed,0.0,0.9333333333333333,0.9875,80,True,,1.0580357142857144,1.0
qwen2.5:14b,4000,pos_02,0.25,retrieve_then_read,answer_f1_relaxed,0.0,0.9333333333333333,0.95,80,True,,1.0178571428571428,1.0
qwen2.5:14b,4000,pos_03,0.35,direct,answer_f1_relaxed,0.0,0.9041666666666667,0.9875,80,True,,1.0921658986175116,1.0
qwen2.5:14b,4000,pos_03,0.35,retrieve_then_read,answer_f1_relaxed,0.0,0.9041666666666667,0.9875,80,True,,1.0921658986175116,1.0
qwen2.5:14b,4000,pos_04,0.45,direct,answer_f1_relaxed,0.0,0.9291666666666667,0.975,80,True,,1.0493273542600896,1.0
qwen2.5:14b,4000,pos_04,0.45,retrieve_then_read,answer_f1_relaxed,0.0,0.9291666666666667,0.9875,80,True,,1.062780269058296,1.0
qwen2.5:14b,4000,pos_05,0.55,direct,answer_f1_relaxed,0.0,0.9208333333333333,0.96875,80,True,,1.0520361990950227,1.0
qwen2.5:14b,4000,pos_05,0.55,retrieve_then_read,answer_f1_relaxed,0.0,0.9208333333333333,0.975,80,True,,1.0588235294117647,1.0
qwen2.5:14b,4000,pos_06,0.65,direct,answer_f1_relaxed,0.0,0.9166666666666666,0.9458333333333333,80,True,,1.0318181818181817,1.0
