dataset_name,model_name,retriever,top_k,n,answer_f1_relaxed,exact_match_relaxed,evidence_f1,evidence_recall,parse_errors
2wikimultihopqa,qwen2.5:14b,dense,16,500,0.47266664446664447,0.408,0.5134571428571428,0.41533333333333333,1
2wikimultihopqa,qwen2.5:14b,hybrid,3,500,0.3713954933954934,0.316,0.3415142857142857,0.2688333333333333,1
2wikimultihopqa,qwen2.5:14b,hybrid,8,500,0.40336101676101677,0.346,0.39048571428571427,0.30666666666666664,1
2wikimultihopqa,qwen2.5:14b,hybrid,16,500,0.46145885225885225,0.404,0.4603142857142857,0.36333333333333334,1
2wikimultihopqa,qwen2.5:14b,lexical,3,500,0.37024456654456656,0.314,0.3253809523809524,0.24983333333333332,1
2wikimultihopqa,qwen2.5:14b,lexical,8,500,0.38662869352869356,0.33,0.35507619047619043,0.2743333333333333,2
2wikimultihopqa,qwen2.5:14b,lexical,16,500,0.41555163725163724,0.358,0.3977238095238095,0.30833333333333335,1
2wikimultihopqa,qwen3:14b,dense,3,500,0.42564572094572095,0.37,0.41537142857142856,0.31933333333333336,0
2wikimultihopqa,qwen3:14b,dense,8,500,0.46611541791541794,0.398,0.4901428571428571,0.38516666666666666,0
2wikimultihopqa,qwen3:14b,dense,16,500,0.4669579864579865,0.392,0.5311047619047619,0.4141666666666667,0
2wikimultihopqa,qwen3:14b,hybrid,3,500,0.387407473812737,0.326,0.35219047619047616,0.2693333333333333,0
2wikimultihopqa,qwen3:14b,hybrid,8,500,0.42646852036852034,0.366,0.4192190476190476,0.32766666666666666,0
2wikimultihopqa,qwen3:14b,hybrid,16,500,0.4835764568764569,0.412,0.47457142857142853,0.36866666666666664,0
2wikimultihopqa,qwen3:14b,lexical,3,500,0.39975091575091576,0.344,0.34476190476190477,0.2653333333333333,0
2wikimultihopqa,qwen3:14b,lexical,8,500,0.4256589965589966,0.36,0.3863238095238095,0.29883333333333334,0
2wikimultihopqa,qwen3:14b,lexical,16,500,0.4542050283050283,0.39,0.42889523809523805,0.33116666666666666,0
